,User,Tweet,Time
118,nrg1187,RT @Trust_Dice: $50 GIVEAWAY | WINNER will be drawn in 30 hours #casino #giveaway #freemoney #nodepositbonus #BTC #USDT #crypto #ETH #slots…,2008-10-01 19:31:19+00:00
119,fclotetm,RT @george28lw: Más  de uno debería aplicarse esto!! 🤣🤣 #bitcoin #btc #crypto #invertir #Dinero #FelizMiercoles https://t.co/KcxYPhuZ1h,2010-02-20 21:34:20+00:00
120,LunaWolf7777,"RT @mahatma_NFT: I think is my favourite Martian so far!!

Although I heard in the Discord that the Golden Martian is going be incredible..…",2021-08-23 08:30:23+00:00
121,bigwins4liya,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2022-01-24 12:23:43+00:00
122,missucity,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2020-08-07 07:45:02+00:00
123,cryptolive_fr,"On les aura eut ces put*** de #bears
No #bearmarket
#btc #crypto https://t.co/BsFhAh8loj",2021-05-09 16:01:31+00:00
124,Arzunur_44,"RT @kriptoefendisi_: İphone çekilişinden önce takipçilerime 2500tl veriyorum. Bana çıkmaz demeyin şansınızı deneyin dostlar.

Katılmak için…",2021-04-17 18:54:43+00:00
125,Adrian_btc,@peremayol @joantubau “Y tú mes” autocrítica 0. Ets un titella o profundamente ignorant,2020-10-06 21:53:42+00:00
126,fuertealocha,RT @Investingcom: $BTC $ETH $ADA $SOL $DOGE $SHIB 🚨 🚨 https://t.co/vBdLB9DlZ8,2013-04-02 18:20:39+00:00
127,DerrickTheRick,"@CometCalls $JEDI is the next Big Thing
🚀Locked liquidity
🚀Certik Audit Applied for
🚀CMC CG Applied for
🚀#CG #CMC #Eth #BTC #Shibnobi #Dogenobi #Metaverse #Sandbox #VR #Crypto #AMC #BSC",2021-08-10 04:11:44+00:00
128,muhy_1990,"RT @ROSHTEINS: MY BIGGEST WIN EVER!!! 💸

GIVE ME YOUR STAKE USERNAME AND I RANDOMLY SHARE SOME OF MY WIN!! ❤️

RT + FOLLOW + LIKE IS A MUST…",2021-10-02 20:57:04+00:00
129,Dimon_btc,"@HarmonyLauncher I am very interested in your project that looks promising luck. Very interesting and promising project. No doubt, this token is making new history in the crypto world.  @Hyipmanagerads @cryptofoolz_hq @viktor27055339",2017-10-14 05:52:47+00:00
130,YukiTan29848847,"RT @Investingcom: *U.S. JUSTICE DEPARTMENT SAYS IT HAS SEIZED OVER $3.6 BLN IN STOLEN #BITCOIN TIED TO 2016 BITFINEX HACK

#BTC https://t.c…",2019-04-27 00:33:39+00:00
131,gupgipgapalaiwa,"RT @LATESTDAONEWS: Since we have invested in #Looksrare 🚀 

Let's spread the word about this awesome NFT Platform that Reward their traders…",2020-08-13 08:33:39+00:00
